CAR NAME,BRAND,LOCATION,PRICE (INR),FUEL TYPE,TRANSMISSION,KM DRIVEN,MANUFACTURE YEAR
2023 Audi Q3Premium Plus BSVI,Audi,Maharashtra,3800000,Petrol,Automatic,18000,2023
2023 Renault KigerRXZ,Renault,Maharashtra,727000,Petrol,Manual,17328,2023
2023 Maruti Alto K10VXI,Maruti,Maharashtra,430000,Petrol,Manual,6200,2023
2022 Renault KigerRXT AMT,Renault,Maharashtra,675000,Petrol,Automatic,14090,2022
2024 Kia CarensX-Line Diesel AT 6 STR,Kia,Maharashtra,1850000,Diesel,Automatic,30000,2024
2023 Renault KigerRXT Opt,Renault,Maharashtra,775000,Petrol,Manual,10000,2023
2022 Skoda Kushaq1.0 TSI Ambition AT BSVI,Skoda,Maharashtra,1151000,Petrol,Automatic,22146,2022
2023 Tata PunchAccomplished,Tata,Maharashtra,780000,Petrol,Manual,17209,2023
2022 Tata PunchAccomplished AMT BSVI,Tata,Maharashtra,700000,Petrol,Automatic,10000,2022
2024 Kia CarensPrestige Plus Opt DCT,Kia,Maharashtra,1775000,Petrol,Automatic,2900,2024
2022 Tata PunchCreative Plus,Tata,Maharashtra,727000,Petrol,Manual,23613,2022
2021 Kia SonetHTX Turbo iMT,Kia,Maharashtra,880000,Petrol,Automatic,39899,2021
2024 Maruti CelerioZXI,Maruti,Maharashtra,595000,Petrol,Manual,9000,2024
2016 Renault KWIDRXT,Renault,Maharashtra,256000,Petrol,Manual,50698,2016
2023 MG HectorSavvy Pro CVT,MG,Maharashtra,1889999,Petrol,Automatic,18500,2023
2022 Renault KigerRXT AMT,Renault,Maharashtra,620000,Petrol,Automatic,10067,2022
2023 Hyundai ExterSX CNG 4 Cylinder,Hyundai,Maharashtra,890000,Cng,Manual,30000,2023
2022 Renault KigerRXZ,Renault,Maharashtra,640000,Petrol,Manual,15626,2022
2023 Maruti Wagon RLXI CNG,Maruti,Maharashtra,590000,Cng,Manual,21000,2023
2021 Tata PunchCreative IRA,Tata,Maharashtra,771000,Petrol,Manual,19815,2021
2024 Jaguar F-Pace2.0 R-Dynamic S Diesel,Jaguar,Uttar Pradesh,7000000,Diesel,Automatic,30000,2024
2022 Nissan MagniteXV BSVI,Nissan,Uttar Pradesh,552000,Petrol,Manual,10644,2022
2021 Kia SonetHTX Turbo iMT BSVI,Kia,Uttar Pradesh,708000,Petrol,Manual,59318,2021
2024 Renault KigerRXL,Renault,Uttar Pradesh,600000,Petrol,Manual,5180,2024
2024 MG AstorSelect CVT,MG,Uttar Pradesh,1400000,Petrol,Automatic,10000,2024
2023 Mahindra Bolero NeoN8,Mahindra,Uttar Pradesh,919999,Diesel,Manual,4900,2023
