Car Name,Brand,Location,Price (INR),Fuel Type,Transmission,Km Driven,Manufacture Year
2023 Audi Q3Premium Plus BSVI,Audi,Maharashtra,3800000,Petrol,Automatic,18000,2023
2023 Maruti Alto K10VXI,Maruti,Maharashtra,430000,Petrol,Manual,6200,2023
2022 Hyundai CretaEX BSVI,Hyundai,Maharashtra,1050000,Petrol,Manual,58000,2022
2016 Maruti ErtigaBSIV VXI,Maruti,Maharashtra,640000,Petrol,Manual,26640,2016
2023 Hyundai ExterSX CNG 4 Cylinder,Hyundai,Maharashtra,890000,Cng,Manual,30000,2023
2020 Kia SeltosHTK Plus AT D,Kia,Maharashtra,1231000,Diesel,Automatic,77000,2020
2022 Renault KigerRXT AMT,Renault,Maharashtra,600000,Petrol,Automatic,10067,2022
2022 Kia CarensPremium BSVI,Kia,Maharashtra,1200000,Petrol,Manual,37000,2022
2024 Maruti CelerioZXI,Maruti,Maharashtra,595000,Petrol,Manual,9000,2024
2024 Mercedes-Benz GLE300d 4Matic,Mercedes,Maharashtra,9700000,Diesel,Automatic,4000,2024
2022 Renault KigerRXT,Renault,Maharashtra,650000,Petrol,Manual,27000,2022
2018 Audi A430 TFSI Premium Plus,Audi,Maharashtra,2675000,Petrol,Automatic,9000,2018
2024 MG Hector PlusSharp Pro CVT 7 Str,MG,Maharashtra,2065000,Petrol,Automatic,7000,2024
2022 Kia SeltosHTK Plus G,Kia,Maharashtra,1325000,Petrol,Manual,15000,2022
2023 Maruti Wagon RLXI CNG,Maruti,Maharashtra,590000,Cng,Manual,21000,2023
2021 BMW 2 Series220i M Sport BSVI,BMW,Maharashtra,2950000,Petrol,Automatic,34000,2021
2024 Kia CarensX-Line Diesel AT 6 STR,Kia,Maharashtra,1850000,Diesel,Automatic,30000,2024
2022 Kia SeltosGTX Plus,Kia,Maharashtra,1495000,Petrol,Manual,15552,2022
2023 Kia CarensPremium BSVI,Kia,Maharashtra,1175000,Petrol,Manual,11000,2023
2023 Mercedes-Benz GLS400d 4MATIC BSVI,Mercedes,Maharashtra,11700000,Diesel,Automatic,24900,2023
